n,n_threads,chunk_size,time
20000,1,1000,10.0186
20000,1,1000,10.0108
20000,1,1000,10.4362
20000,1,1000,10.5283
20000,1,1000,10.5354
20000,1,1000,10.4695
20000,1,1000,10.4729
20000,1,1000,10.6655
20000,1,1000,10.5529
20000,1,1000,10.589
20000,6,1000,2.10897
20000,6,1000,2.11043
20000,6,1000,2.11354
20000,6,1000,2.12338
20000,6,1000,2.10914
20000,6,1000,2.10728
20000,6,1000,2.11001
20000,6,1000,2.10998
20000,6,1000,2.10819
20000,6,1000,2.10784
20000,11,1000,1.60931
20000,11,1000,1.62934
20000,11,1000,1.60998
20000,11,1000,1.63159
20000,11,1000,1.61028
20000,11,1000,1.66361
20000,11,1000,1.6311
20000,11,1000,1.637
20000,11,1000,1.6491
20000,11,1000,1.62037
20000,22,1000,1.61785
20000,22,1000,1.62
20000,22,1000,1.61952
20000,22,1000,1.62931
20000,22,1000,1.61198
20000,22,1000,1.6368
20000,22,1000,1.63144
20000,22,1000,1.62429
20000,22,1000,1.63138
20000,22,1000,1.62969
40000,1,2000,43.1787
40000,1,2000,42.8617
40000,1,2000,42.8842
40000,1,2000,42.8755
40000,1,2000,42.6191
40000,1,2000,42.7102
40000,1,2000,42.761
40000,1,2000,42.7086
40000,1,2000,42.833
40000,1,2000,42.9028
40000,6,2000,8.43354
40000,6,2000,8.48363
40000,6,2000,8.47792
40000,6,2000,8.49222
40000,6,2000,8.44531
40000,6,2000,8.95982
40000,6,2000,8.54518
40000,6,2000,8.39212
40000,6,2000,8.39279
40000,6,2000,8.3502
40000,11,2000,6.38741
40000,11,2000,6.40993
40000,11,2000,6.39577
40000,11,2000,6.46117
40000,11,2000,6.84979
40000,11,2000,6.64381
40000,11,2000,6.3645
40000,11,2000,6.41005
40000,11,2000,6.79125
40000,11,2000,6.71861
40000,22,2000,6.3965
40000,22,2000,6.42152
40000,22,2000,6.61564
40000,22,2000,6.41048
40000,22,2000,6.45203
40000,22,2000,6.40892
40000,22,2000,6.62605
40000,22,2000,6.39009
40000,22,2000,6.37737
40000,22,2000,6.38777
80000,1,4000,170.529
80000,1,4000,171.158
80000,1,4000,170.195
80000,1,4000,170.108
80000,1,4000,170.362
80000,1,4000,170.368
80000,1,4000,169.898
80000,1,4000,170.401
80000,1,4000,170.428
80000,1,4000,170.339
80000,6,4000,33.3435
80000,6,4000,33.6621
80000,6,4000,33.719
80000,6,4000,33.3362
80000,6,4000,33.3272
80000,6,4000,33.3034
80000,6,4000,33.2817
80000,6,4000,33.315
80000,6,4000,33.3683
80000,6,4000,33.2563
80000,11,4000,25.2693
80000,11,4000,25.3446
80000,11,4000,25.2021
80000,11,4000,25.285
80000,11,4000,25.3246
80000,11,4000,25.3703
80000,11,4000,25.2182
80000,11,4000,25.3676
80000,11,4000,25.3434
80000,11,4000,25.5216
80000,22,4000,25.3884
80000,22,4000,25.2038
80000,22,4000,25.0836
80000,22,4000,25.2199
80000,22,4000,25.1974
80000,22,4000,25.0966
80000,22,4000,25.1806
80000,22,4000,25.2269
80000,22,4000,25.1323
80000,22,4000,25.1842
120000,1,6000,382.732
120000,1,6000,383.023
120000,1,6000,382.62
120000,1,6000,382.73
120000,1,6000,382.773
120000,1,6000,383.206
120000,1,6000,885.33
120000,1,6000,384.039
120000,1,6000,383.7
120000,1,6000,382.97
120000,6,6000,75.0316
120000,6,6000,75.0305
120000,6,6000,74.9601
120000,6,6000,76.6939
120000,6,6000,76.0543
120000,6,6000,76.1999
120000,6,6000,74.8889
120000,6,6000,75.0142
120000,6,6000,74.9946
120000,6,6000,74.9147
120000,11,6000,57.1451
120000,11,6000,59.7993
120000,11,6000,58.5186
120000,11,6000,58.2655
120000,11,6000,58.9456
120000,11,6000,58.9618
120000,11,6000,57.4879
120000,11,6000,193.965
120000,11,6000,219.228
120000,11,6000,57.2626
120000,22,6000,56.5882
120000,22,6000,57.0151
120000,22,6000,56.976
120000,22,6000,57.0383
120000,22,6000,57.021
120000,22,6000,56.6352
120000,22,6000,57.6461
120000,22,6000,56.9872
120000,22,6000,57.0156
120000,22,6000,57.1579
140000,1,7000,520.308
140000,1,7000,521.58
140000,1,7000,520.569
140000,1,7000,522.224
140000,1,7000,525.421
140000,1,7000,523.207
140000,1,7000,524.19
140000,1,7000,523.051
140000,1,7000,523.254
140000,1,7000,525.645
140000,6,7000,113.704
140000,6,7000,113.83
140000,6,7000,122.434
140000,6,7000,104.227
140000,6,7000,106.501
140000,6,7000,104.569
140000,6,7000,103.113
140000,6,7000,102.1
140000,6,7000,103.663
140000,6,7000,103.399
140000,11,7000,79.7525
140000,11,7000,78.3591
140000,11,7000,78.7203
140000,11,7000,80.2065
140000,11,7000,79.9891
140000,11,7000,78.8851
140000,11,7000,77.6259
140000,11,7000,78.1007
140000,11,7000,80.4542
140000,11,7000,81.0636
140000,22,7000,79.9559
140000,22,7000,77.3825
140000,22,7000,76.9903
140000,22,7000,77.1041
140000,22,7000,78.4008
140000,22,7000,77.3675
140000,22,7000,77.3209
140000,22,7000,77.3401
140000,22,7000,78.5517
140000,22,7000,78.1437
160000,1,8000,679.684
160000,1,8000,678.975
160000,1,8000,679.351
160000,1,8000,678.702
160000,1,8000,682.991
160000,1,8000,690.777
160000,1,8000,689.241
160000,1,8000,685.335
160000,1,8000,687.682
160000,1,8000,684.985
